item	site	category	subcategory	description
Sanctified Whetblade	Elden Ring Wiki	Items	Whetblades	"Sanctified whetblade with a cipher engraved. Can be used as a whetstone knife.
When applying an affinity using physical or golden-type ashes of war, an additional affinity of sacred or lightning can be chosen.
"
Freezing Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Engraved with the crest of the Carian Royals. Throw at enemies to cause buildup of frost. Originates from the cold, dark moon of Ranni, the Carian princess. 
"
Irina's Letter	Elden Ring Wiki	Items	Key Items	"Letter given by Irina, addressed to her father, the commander of Castle Morne.
 Gorgeous silken handkerchief, lightly stained with blood. Words can be made out within.
"
Remembrance of the Rot Goddess	Elden Ring Wiki	Items	Rememberances	"Remembrance of Malenia, Goddess of Rot, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.
Alternatively, it can be used to gain a great bounty of runes.
Miquella and Malenia are both the children of a single god. As such they are both Empyreans, but suffered afflictions from birth. One was cursed with eternal childhood, and the other harbored rot within.
"
Sleep Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot.
 Enchanted by the incantations of St. Trina.
 Consumes FP. Throw enemies to cause buildup of sleep.
 Like a lullaby, or a quagmire, its light-purple haze irresistibly draws its victims down into sleep. Sweet dreams.
"
Faded Erdleaf Flower	Elden Ring Wiki	Items	Materials	"An Erdleaf flower that has faded into a plate scarlet, found blooming in rotten lands.Material used for crafting items.
Said to be fed by leaves that fell from the Erdtree in days of antiquity.
"
Golden Sunflower	Elden Ring Wiki	Items	Materials	"A golden sunflower that grows facing the Erdtree.Material used for crafting items.Found near Minor Erdtrees.
At the foot of the Erdtree, they retain their color, along with a powerful holy essence.
"
Fingerslayer Blade	Elden Ring Wiki	Items	Key Items	"The hidden treasure of the Eternal City of Nokron; a blade said to have been born of a corpse.
This blood-drenched fetish is proof of the high treason committed by the Eternal City and symbolizes its downfall.
Cannot be wielded by those without a fate, but is said to be able to harm the Greater Will and its vassals.
"
Large Glintstone Scrap	Elden Ring Wiki	Items	Consumables	"Large piece of glintstone tinged with unstable magic. Found in crystal tunnels.
Break gem, using FP to produce a magic bolt.
Poor quality and thereby easily broken, a sorcerer wouldn't give it a second look.
"
Redmane Fire Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Engraved with the crest of red-maned lion.  Throw at enemies to inflict heavy fire damage.  Even today, the survivors of Radahn's battalion employ fire to stave off the scarlet rot.
"
Altus Bloom	Elden Ring Wiki	Items	Materials	"A golden-tingerd flower from a succulent plant that blooms on the Altus Plateau.Material used for crafting items.
Said to be a funereal flower in an era long past, before the Erdtree grew.
"
Fan Daggers	Elden Ring Wiki	Items	Consumables	"A set of five throwing knives bundled together. A concealed weapon cherished by the raptor assassins.
The thin knives fan out when thrown, dealing damage to the target. Each knife deals paltry damage, but the wide range makes it suitable for constraining enemies.
"
Phantom Great Rune	Elden Ring Wiki	Items	Great Runes	"Item for online play.
 Obtained after using the Mohg's Great Rune and invading another world.
 Consumed upon use.
Enemies inside the invaded world receive a blessing of blood, which boosts their attack power when blood loss occurs nearby. Also, your HP recovers when blessed enemies defeat a player.
"
Remembrance of Hoarah Loux	Elden Ring Wiki	Items	Rememberances	"Remembrance of the warrior Hoarah Loux, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes.
When Godfrey, first Elden Lord was robbed of his grace, becoming Tarnished, he took with him his kinfolk and left the Lands Between. After the Long March of the Tarnished came to an end, Godfrey divested himself of kingship, becoming a simple warrior once more.
"
Lord of Blood's Favor	Elden Ring Wiki	Items	Key Items	"Before soaking:
Pure white oath-cloth given by Varré. The final trial to be anointed a Knight of Mohg, Lord of Blood.
""Soak the cloth with a maiden's blood... The blood of anyone's maiden will do. You are maidenless, after all.""
After soaking:
Fully reddened oath-cloth, dyed in a maiden's blood.
The final trial is complete. Luminary Mohg is sure to welcome you into his service, as a knight who will lay the foundations for his dynasty.
"
Wraith Calling Bell	Elden Ring Wiki	Items	Tools	"Bell used by worshippers of revenants.
Ring bell, using FP to summon prowling wraiths. This can be done multiple times in a row.
Wraiths are said to be the vengeful spirits of those who died when cursed.
"
Crystal Dart	Elden Ring Wiki	Items	Consumables	"Throwing knife chiseled from impure crystal. Craftable item.
Consumes FP. Throw at enemies to deal magic damage. Long ago, it is said that a golem crafter employed a similar crystal tool. 
"
Fire Blossom	Elden Ring Wiki	Items	Materials	"A half-ashen and smoldering flower that blooms on the mountaintops of the Giants.Material used for crafting items.
Fertilized by the sparks from the forge at the peak where burns the flame of ruin.
"
Living Jar Shard	Elden Ring Wiki	Items	Materials	"A fragment of a living jar, hardened after its death.Material used for crafting items.
Such fragments command a high price due to the magical power locked within. This leaves the living jars unfortunate targets for poachers.
"
Hefty Beast Bone	Elden Ring Wiki	Items	Materials	"Thick, solid beast bones.Material used for crafting items.Found by hunting particularly large beasts.Commonly Used to make disposable weapons.
"
Mimic's Veil	Elden Ring Wiki	Items	Key Items	"Golden veil of intricate design.
Uses FP to mimic nearby objects.
When Godrick was hounded from Leyndell, the Royal Capital, this was one of a multitude of treasures he took with him. Also known as ""Marika's Mischief"".
"
Lantern	Elden Ring Wiki	Items	Key Items	"A small waist-worn lantern that illuminates surroundings. 
Use once to turn on, and again to turn off.
While its light is dimmer than that of a torch, it has the advantage of freeing up the user's hands. 
"
Holyproof Dried Liver	Elden Ring Wiki	Items	Consumables	"Cured animal liver, dried out after pickling in a golden medicinal solution.Craftable item.
Temporarily boosts holy damage negation, improving damage mitigation against attacks imbued with holiness.
"
Rancor Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. Enchanted by the ancient death hex. Consumes FP. Throw at enemies to spawn vengeful spirits that chase down foes. In times of old, the dead were burned with ghostflame, and from those cinders arose vengeful spirits. 
"
Seluvis's Introduction	Elden Ring Wiki	Items	Key Items	"Scroll bearing a royal coat of arms.
A letter of introduction written by Preceptor Seluvis.
Addressed to a glintstone sorceress by the name of Sellen.
The contents of the scroll cannot be discerned.
"
Omen Bairn	Elden Ring Wiki	Items	Consumables	"Doll of a curseborn bairn.
Uses FP to unleash wraiths that chase down foes.
Omen babies have all their horns excised, causing most to perish.
These fetishes are made to memorialize them.
""Please, don't hate me, or curse me. Please.""
"
Radahn's Great Rune	Elden Ring Wiki	Items	Great Runes	"A Great Rune of the shardbearer Radahn.
Its blessing raises maximum HP, FP and Stamina.
Radahn was amongst the children of Rennala and Radagon, who became demigod stepchildren after Radagon's union with Queen Marika.
The Great Rune burns, to resist the encroachment of the scarlet rot.
"
Spectral Steed Whistle	Elden Ring Wiki	Items	Key Items	"A delicate goldwork ring. Can be used as a finger whistle.
Sound the whistle to summon and ride Torrent, the spectral steed.
 (Dismounts steed when used while on horseback.)
Upon his death, the spectral steed can be summoned again, but doing so drains the Flask of Crimson Tears.
"
Silver Firefly	Elden Ring Wiki	Items	Materials	"Firefly that gives off a silvery light. Material used in crafting items. Found near bodies of cold water untouched by sunlight. The light of fireflies is believed to have an alluring magic. Silver light is considered to invite riches.
"
Formic Rock	Elden Ring Wiki	Items	Materials	"Rock formed from solidified giant ant venom. Highly acidic.Material used for crafting items.
Found near Ainsel River and other places where giant ants live.
"
Flask of Crimson Tears	Elden Ring Wiki	Items	Consumables	"A sacred flask modelled after a golden holy chalice that was once graced by a tear of life.
Filled with crimson tears, this flask restores HP with use. Rest at a site of grace to replenish.
The one washed up on the gravesite was sure to die, until this flaskoffered its gift of rejuvenation. To seek the Elden Ring. 
"
Bewitching Branch	Elden Ring Wiki	Items	Consumables	"Tree branch blessed with an incantation of unalloyed gold. Craftable item.
Pierce a foe, using FP to turn them into a temporary ally.
The Empyrean Miquella is loved by many people. Indeed, he has learned very well how to compel such affection.
"
Volcanic Stone	Elden Ring Wiki	Items	Materials	"A smoldering rock containing hot gas.
 Material used for crafting items.
 Found on Mt. Gelmir.
"
Golden Dung	Elden Ring Wiki	Items	Materials	"Someone's excrement. It has a golden tinge. Material used for crafting items.  Gold-tinged excrement is a highly stable substance; it doesn't dry out, nor does it lose its customary warmth or scent. For better or for worse, it remains as it is.
"
Soporific Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of light-purple materials. Craftable item.
Coats armament, inflicting sleep.The effect lasts only for a short time.
"
Rot Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of rotten materials. Craftable item.
Coats armament, inflicting scarlet rot. The effect lasts only for a short time.
"
Carian Inverted Statue	Elden Ring Wiki	Items	Key Items	"Statuette of a scholar, with ground and sky inverted.
Reveals the hidden form of the Carian Study Hall, which connects to the divine tower.
To unveil the secret, affix it to the pedestal of the celestial globe.
"
Rainbow Stone	Elden Ring Wiki	Items	Consumables	"Ruin Fragment that has undergone some simple processing. Craftable item.
Stones such as these shine with the colors of the rainbow, making them useful markers when placed on the ground.
Can also be dropped to gauge the distance of a fall. The higher the pitch of the sound, the higher the likelihood of the fall being fatal. Once used to entertain children on the fringes of the Lands Between.
"
Fingerprint Grape	Elden Ring Wiki	Items	Key Items	"Eyeball of the knight Vyke, inflamed yellow. Seared with a repulsive fingerprint burn akin to those that marred his entire body.
If offered to the blind maiden, it will lead her to the source of the distant light, allowing her to become a Finger Maiden.
"
Clarifying Cured Meat	Elden Ring Wiki	Items	Consumables	"Cured strip of meat, dried out after pickling in a purple medicinal solution. Craftable item.
Temporarily boosts focus.
Higher focus helps to mitigate the buildup of sleep and madness. 
"
Explosive Stone Clump	Elden Ring Wiki	Items	Consumables	"A clump of small stones with smoldering cores.
Explodes when thrown together at enemies, inflicting fire damage.
Miners employ these stones as tools for rock blasting, but have long forgotten how to craft them.
"
Sanctuary Stone	Elden Ring Wiki	Items	Materials	"A rare piece of stone fragment found near places where ruins have fallen from the sky.Material used for crafting items.
It feeds and strengthens the light as it shines.
"
Elden Remembrance	Elden Ring Wiki	Items	Rememberances	"Remembrance of the Elden Beast, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.
Alternatively, it can be used to gain a great bounty of runes.
It was the vassal beast of the Greater Will and living incarnation of the concept of Order.
"
Crab Eggs	Elden Ring Wiki	Items	Materials	"Eggs of lare crabs which dwell in the shallows.Materials used for crafting items.
A nutritious foodstuff that warms from within. The flavor is exquisite. Only those of comfort and means know the truth:a crab's eggs are more delectable than its meat.
"
Glintstone Scrap	Elden Ring Wiki	Items	Consumables	"Piece of glintstone tinged with unstable magic. Found in crystal tunnels.Break gem, using FP to produce a magic bolt.Poor quality and thereby easily broken, a sorcerer wouldn't give it a second look.
"
Haligtree Secret Medallion (Right)	Elden Ring Wiki	Items	Key Items	"Right half of a split medallion depicting the Haligtree.
Brandishing the medallion with both halves conjoined will activate the Grand Lift of Rold, granting access to a hidden path.
In other words, this secret medallion will guide the bearer to the land of Miquella's Haligtree.
"
Acid Spraymist	Elden Ring Wiki	Items	Consumables	"Forbidden art of depraved perfumers.Craftable with a perfume bottle.
Uses FP to release an acidic mist from user's mouth, damaging armaments and temporarily lowering attack power.
Perfumed powder is held in the mouth to dissolve before being expelled. It was once a restorative art, or so it is said.
"
Haligtree Secret Medallion (Left)	Elden Ring Wiki	Items	Key Items	"Left half of a split medallion depicting the Haligtree.
Brandishing the medallion with both halves conjoined will activate the Grand Lift of Rold, granting access to a hidden path.
In other words, this secret medallion will guide the bearer to the land of Miquella's Haligtree.
"
Silver-Pickled Fowl Foot	Elden Ring Wiki	Items	Consumables	"Four-toed foot of a fowl, pickled in a silvery medicinal solution.
 Craftable item.
Temporarily boosts item discovery.
Since old times, the needy would scrape the meat clean even from a fowl's claw.
"
Black Knifeprint	Elden Ring Wiki	Items	Key Items	"On the Night of the Black Knives, someone stole a fragment of Death from Maliketh, the Black Blade, and imbued its power into the assassins' daggers.
This mark is evidence of the ritual, and hides the truth of the conspiracy.
"
Serpent's Amnion	Elden Ring Wiki	Items	Key Items	"Amnion from the mother's womb which cradled the poor unwanted offspring of a repellant birthing ritual.
It will never dry out, remaining damp indefinitely.
"
Explosive Stone	Elden Ring Wiki	Items	Consumables	"A small stone with a smoldering core.
Explodes when thrown at enemies, inflicting fire damage.
Miners employ these stones as tools for rock blasting, but have long forgotten how to craft them.
"
Cracked Crystal	Elden Ring Wiki	Items	Materials	"A cracked, impure, degraded, and altogether unremarkable crystal.Material used for crafting items
Widely found in crystal tunnels.
"
Ancestral Infant's Head	Elden Ring Wiki	Items	Key Items	"Skull of a very young ancestral spirit. Just think how many sproutings It might bear.
Uses to spray spirit vapor inflicting magic damage.
The vapor becomes a temporary geyser which deals continuous damage to everything it touches until it disappears
"
Sweet Raisin	Elden Ring Wiki	Items	Consumables	"Preparation of dried Golden Rowa fruit.Craftable item.
Feed to Torrent, the spectral steed, while riding to greatly restore his HP
Golden Rowa fruit is not unlike honey, and Torrent seems to have a taste for it.
"
Memory Stone	Elden Ring Wiki	Items	Key Items	"A black, lightly beguiling stone. Prized by the sorcerers who produce them.
Increases memory slots.
Said to be a fragment of the black moon that once hung above the Eternal City.
"
Lightning Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of fulminating materials. Craftable item.
Coats armament, adds lightning damage to attacks.The effect lasts only for a short time.
"
Alluring Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot.Enchanted with assasin incantations.
Consumes FP. Throw to create a pale shadow.
The illusion will lure in and distract foes of human build outsideof combat, while demi-humans will be lured in even during combat.
"
Shield Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of magically resonant materials. Craftable item.
Coats left-hand armament, boosting guarding ability and all forms of damage negations.
Primarily used on shields.
"
Beast Eye	Elden Ring Wiki	Items	Key Items	"Claw-marked stone eye received from Gurranq, Beast Clergyman.
It is said to tremble when near Deathroot.
The murky violet iris writhes as if alive.
 ""I am not sated... Feed me more...Death...""
"
Stormhawk Feather	Elden Ring Wiki	Items	Materials	"A feather from a hawk that lived as one with the storms. Material used for crafting items.  These feathers, enveloped in swirling winds, are often used for arrow fletching.
"
Poisonbone Dart	Elden Ring Wiki	Items	Consumables	"Animal bone sharpened into a knife for throwing, with a poison-laced tip.Craftable item.
Throw at enemies to inflict damage and build up poison.
"
Gold-Tinged Excrement	Elden Ring Wiki	Items	Materials	"Someone's excrement. It has a golden tinge. Material used for crafting items. Often hidden in woods and thickets. Gold-tinged excrement is a highly stable substance; it doesn't dry out, nor does it lose its customary warmth or scent. For better or for worse, it remains as it is.
"
Magic Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of magically resonant materials. Craftable item. 
Coats armament, adding magic damage to attacks. The effect lasts only for a short time.
"
Lightning Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. A cocktail of fulminating materials is sealed inside.  Throw at enemies to inflict lightning damage.
"
Memory of Grace	Elden Ring Wiki	Items	Multiplayer Items	"The memory of first grace, which once guided bygone Tarnished to the Lands Between.
Lose all runes and return to last site of grace visited.
It is merely a cycle. Stand before the Elden Ring. Become the Elden Lord.
"
Gravel Stone	Elden Ring Wiki	Items	Materials	"A small clump of sharp, pointed stones.Material used for crafting items.
Such compound stones, found in lands once beset by ancient dragons, are said to be the scales of those very beasts.
"
Sacramental Bud	Elden Ring Wiki	Items	Materials	"An immature bud containing fresh blood.Material used for crafting items.
Believed to originate long ago from a strain of buds cultivated with youthful, sacramental blood.
"
Golden Rowa	Elden Ring Wiki	Items	Materials	"A Rowa fruit tinted with gold.Material used for crafting items.
Easily found near the Erdtree.
"
Blood-Tainted Excrement	Elden Ring Wiki	Items	Materials	"The bloody excrement of a carnivorous beast. Material used for crafting items. Found in the land of the new dynasty. Mixed inside with half-digested flesh are dense colonies of tiny eggs of unknown but assuredly revolting origin. 
"
Stimulating Boluses	Elden Ring Wiki	Items	Consumables	"Light-purple boluses made from cave moss. Craftable item.
Alleviates buildup of sleep.
Sleep accumulates gradually, causing sudden fogginess and loss of FP once the threshold is reached, even if it does not force the afflicted into true slumber.
Take one of these in a timely fashion to avoid such events.
"
Tarnished Golden Sunflower	Elden Ring Wiki	Items	Materials	"A large flower that blooms facing the Erdtree.Material used for crafting items.Found near Minor Erdtrees.
Though wilted and faded, it still retains holy essence.
"
Sellian Sealbreaker	Elden Ring Wiki	Items	Key Items	"Glintstone key received from the sorceress Sellen.
Capable of breaking the seal that keeps Master Lusat confined.
Sellia, Town of Sorcerery can be found in Caelid. This key was said to have been found in the possession of a Sellian sorcerer.
"
Clarifying Boluses	Elden Ring Wiki	Items	Consumables	"Yellow boluses made of cave moss. Craftable item.
Alleviates madness buildup. Madness accumulates slowly, inflicting heavy damage and reducing FP once the threshold is reached. 
Take one of these in timely fashion to avoid such events. 
"
Preserving Boluses	Elden Ring Wiki	Items	Consumables	"Scarlet boluses made of cave moss.Craftable item.
Alleviates scarlet rot buildup and cures rot aliment.
Scarlet rot accumulates gradually, coming into effect once the threshold is reached. Scarlet rot ailment greatly lowers HP in steady increments for a period.
"
Rya's Necklace	Elden Ring Wiki	Items	Key Items	"Necklace stolen from Rya by the blackguard.
 Features a relief of a dignified looking woman from a foreign country.
 It appears to hold great significance for Rya.
"
Gravity Stone Fan	Elden Ring Wiki	Items	Consumables	"Shard of rock found in the wake of a meteorite strike.
It is imbued with a particularly weighty magic.
Uses FP to emit gravitational shockwave.
The desperate ones which scavenge for these shards dub themselves ""starcallers.""
"
Strip of White Flesh	Elden Ring Wiki	Items	Materials	"Thin strips of flesh taken from a bloodless creature.Material used for crafting items.The dried meat toughens the constitution, boosting resistance. It'sknown for its long-lasting effect.
"
Glowstone	Elden Ring Wiki	Items	Consumables	"Polished Ruin Fragment that shines brighter than Rainbow Stone. Craftable item.
Emits light from the location it is placed, illuminating surroundings. However, the effect is short-lived, and it lacks the diverse colors of rainbow stones.
May serve some benefit in dark places, or at night.
"
Miquella's Needle	Elden Ring Wiki	Items	Consumables	"One of the unalloyed gold needles that Miquella crafted to ward away the meddling of outer gods.
Capable of subduing the flame of frenzy if inherited, allowing one to cheat fate and avoid becoming Lord of Frenzied Flame.
However, the needle is as yet unfinished and can only be used in the heart of the storm beyond time said to be found in Faram
 Azula.
"
Bone Dart	Elden Ring Wiki	Items	Consumables	"Animal bone sharpened into a knife for throwing. Craftable item.
Throw at enemies to inflict damage.
"
Festering Bloody Finger	Elden Ring Wiki	Items	Multiplayer Items	"Item for online play. (Can also be used from the Multiplayer menu.) Consumed upon use.
Attempts an invasion of another player's world. If successful, you will arrive as an invader (Bloody Finger) with the objective of defeating the Host of Fingers of that world.
This furled finger is blackened with blood congestion. It seems to have been chopped off rather unceremoniously.
"
Celestial Dew	Elden Ring Wiki	Items	Consumables	"A hidden Tear found in the Eternal City. Also known as a Night Tear.
Allows one to carry out an Absolution at the Church of Vows, reversing all antagonizations.
Once upon a time, the stars of the night sky guided fate, and this is a recollection of those times. 
"
Root Resin	Elden Ring Wiki	Items	Materials	"Resin secreted from the roots of the Greattree.Can also be found near trees on the surface.Material used in crafting items.
The roots of the Greattree were once linked to those of the Erdtree, or so they say, and it is for this reason catacombs are built around Greattree roots.
"
Glintstone Whetblade	Elden Ring Wiki	Items	Whetblades	"Glintstone whetblade with a cipher engraved. Can be used as a whetstone knife.
When applying an affinity using physical or magic-type ashes of war, an additional affinity of magic or frost can be chosen.
"
Glass Shard	Elden Ring Wiki	Items	Consumables	"Glass shard covered in dirt.
Because it sparkles in the light, it might be mistaken for an object of value when seen from afar.
It cannot produce light by itself. Essentially worthless.
"
Gold Firefly	Elden Ring Wiki	Items	Materials	"Firefly that gives off a golden light.Material used in crafting items.Found near bodies of water close to Minor Erdtrees.The light of fireflies is believed to have an alluring magic. Golden light is considered to invite runes.
"
Cracked Pot	Elden Ring Wiki	Items	Materials	"This empty pot somehow mends itself when broken.
Essential vessel for crafting cracked pot items.
The materials and magics sealed within deploy their effects when 
the pot is thrown.
"
Stanching Boluses	Elden Ring Wiki	Items	Consumables	"Red boluses made from cave moss. Craftable item.
Alleviates impending blood loss.
Blood loss escalates gradually, causing great damage once the threshold is reached. 
Take one of these in timely fashion to avoid such an event.
"
Flask of Wondrous Physick	Elden Ring Wiki	Items	Consumables	"A relic of the physick chemists, priests of the Erdtree. Harnesses the powers of crystal tears, which only form after the passage of many moons.
Various special effects are bestowed upon the drinker, dependent on the specific mixture of crystal tears. Rest at a site of grace to replenish.
Basins are placed at the feet of Minor Erdtrees throughout the Lands Between in order to collect their crystallized tears.
"
Spirit Calling Bell	Elden Ring Wiki	Items	Key Items	"A bell capable of summoning various spirits from ashen remains. It usually requires FP to use.
Spirits can only be summoned in the vicinity of a rebirth monument. When summoning is possible, the monument icon will be visible on the left side of the screen.
Only one type of spirit may be summoned at once, and none may be summoned during multiplayer.
"
Throwing Dagger	Elden Ring Wiki	Items	Consumables	"Short dagger for throwing. It has no handguard. The blade is polished, and its weight is expertly balanced.
Throw at enemies to deal damage.
This auxiliary weapon, used primarily to constrain an enemy's movements, can still be deadly in the right hands.
"
Four-Toed Fowl Foot	Elden Ring Wiki	Items	Materials	"Foot of a four-toed fowl.Material used for crafting items.In the Lands Between, having three digits is seen as a bad omen. As such, the rarer four-toed fowl's is a gift of great luck indeed.
"
Warming Stone	Elden Ring Wiki	Items	Consumables	"Ruin Fragment blessed with an incantation of the Two Fingers. Craftable item.
Uses FP to generate warmth, continuously restoring the HP of those nearby.
It's said that the Erdtree was once as warm as the gentle sun, and would gradually heal all who bathed in its rays. 
"
Dancer's Castanets	Elden Ring Wiki	Items	Key Items	"Castanets used by dancers from foreign lands. Received from Patches.
The passionate dance comprises no seductiveness, but merely a dignified beauty.
"
Neutralizing Boluses	Elden Ring Wiki	Items	Consumables	"Green boluses made from cave moss. Craftable item.
Alleviates poison buildup and cures poison ailment.
Poison accumulates gradually, coming into effect once the threshold is reached. Poison ailment lowers HP in steady increments for a period.
"
Remembrance of the Lichdragon	Elden Ring Wiki	Items	Rememberances	"Remembrance of Lichdragon Fortissax, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.
Alternatively, it can be used to gain a great bounty of runes.
After Godwyn the Golden became the Prince of Death, the ancient dragon fought long and hard against the Death within its companion. Alas, victory was never achieved and its only reward was corruption.
"
Invigorating Cured Meat	Elden Ring Wiki	Items	Consumables	"Cured strip of meat, dried out after pickling in a red medicinal solution.Craftable item.
Temporarily boosts robustness.
Higher robustness helps to mitigate the buildup of frost and blood loss.
"
Remembrance of the Regal Ancestor	Elden Ring Wiki	Items	Rememberances	"Remembrance of the Regal Ancestor Spirit, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes.
Ancestral spirits exist as a phenomenon beyond the purview of the Erdtree. Life sprouts from death, as it does from birth. Such is the way of the living.
"
Fetid Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. A cocktail of effluents is sealed inside. As the mixture ferments, toxins are produced alongside a putrid stench that seeps out once ripe. Throw at enemies to cause buildup of deadly poison. Beware though; those who carry these pots will slowly accumulate poison in their own bodies. Push someone in a privy; expect to get dung on your hands. 
"
Great Rune of the Unborn	Elden Ring Wiki	Items	Great Runes	"Amber egg clutched by Rennala, Queen of the Full Moon.Great Rune of unborn demigods.
Perfects those who have been born anew.
Children born anew by Rennala are all frail and short-lived.Imperfect beings, each and all
"
Blasphemous Claw	Elden Ring Wiki	Items	Consumables	"A slab of rock engraved with traces of the Rune of Death.  Can deflect the power of the Black Blade.  On the night of the dire plot, Ranni rewarded Praetor Rykard with these traces. Should the coming trespass one day transpire, they would serve as a last-resort foil, allowing Rykard to challenge Maliketh the Black Blade, the black beast of Destined Death.
"
Frozen Raisin	Elden Ring Wiki	Items	Consumables	"Preparation of dried Rimed Rowa. Craftable item.
Feed to Torrent, the spectral steed, while riding to vastly restore his HP.
Torrent seems to enjoy the sensation of chewing this frozen, dried seed.
"
Margit's Shackle	Elden Ring Wiki	Items	Consumables	"A fetish bathed in golden magic. Shackles were used to bind the accursed people called the Omen, and these ones were made to keep a particular Omen under strictest confinement. Though faint, the shackles still retain vestiges of power — enough to trap the once-bound Margit on earth, if only for a short time.
"
Remembrance of the Dragonlord	Elden Ring Wiki	Items	Rememberances	"Remembrance of Dragonlord Placidusax, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.
Alternatively, it can be used to gain a great bounty of runes.
The Dragonlord whose seat lies at the heart of the storm beyond 
time is said to have been Elden Lord in the age before the Erdtree. 
Once his god was fled, the lord continued to await its return.
"
Heavy Meteorite Fragment	Elden Ring Wiki	Items	Consumables	"Shard of rock found in the wake of a meteorite strike.
It is imbued with a particularly weighty magic.
Consumes FP.
Throw at the ground to create a gravitational shockwave.
The desperate ones who scavenge for these shards dub themselves ""starcallers"".
"
Seedbed Curse	Elden Ring Wiki	Items	Key Items	"Curse grown on a corpse killed and defiled by the Dung Eater. A tender pox afflicted with omen horns. 
The Dung Eater cultivates the seedbed curse on corpses.
By doing so he prevents dead souls returning to the Erdtree, leaving them forever cursed. One of the most loathsome things found in the Lands Between.
"
Poison Spraymist	Elden Ring Wiki	Items	Consumables	"Forbidden art of depraved perfumers. Craftable with a perfume bottle.
Uses FP to release a poison mist from user's mouth, causing a buildup of poison.
Perfumed powder is held in the mouth to dissolve before being expelled. It was once a restorative art, or so it is said. 
"
Remembrance of the Fire Giant	Elden Ring Wiki	Items	Rememberances	"Remembrance of Fire Giant, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.
Alternatively, it can be used to gain a great bounty of runes.
The Fire Giant is a survivor of the War against the Giants. Upon 
realizing the flames of their forge would never die, Queen Marika 
marked him with a curse. ""O trifling giant, mayest thou tend thy 
flame for eternity.""
"
Rimed Crystal Bud	Elden Ring Wiki	Items	Materials	"A young plant, frozen into a crystal before it could mature.Material used for crafting items.
Widely found in cold regions.
"
Stonesword Key	Elden Ring Wiki	Items	Key Items	"A sword-shaped stone key.
Breaks the seal on imp statues, but remains embedded in the statue after use, meaning it can only be used once as an item.
Think well before using one.
"
Land Octopus Ovary	Elden Ring Wiki	Items	Materials	"Puffy, milky white ovary of a land octopus.Material used for crafting items.Land octopuses eat humans in order to bear young, and theirs is the blood that runs through these ovaries.
"
Discarded Palace Key	Elden Ring Wiki	Items	Key Items	"A key discarded by Lunar Princess Ranni alongside her very flesh.
Opens a treasure chest passed down to Carian Princesses.
It is said to be found in the Grand Library of Raya Lucaria with her mother Rennala. 
"
Radiant Baldachin's Blessing	Elden Ring Wiki	Items	Consumables	"Protection of a hidden temple in the guise of a bedchamber. This blessing is of the utmost rarity.
Uses FP to temporarily raise poise. The effect lasts longer than a mere favor.
It's said a deathbed companion will only produce a blessing of this kind for a champion but once in her entire life. The sole blessing which she imbues of her own volition. 
"
Pickled Turtle Neck	Elden Ring Wiki	Items	Consumables	"Turtle neck meat, pickled in a bitter medicinal solution. Craftable item.
Temporarily boosts stamina recovery.
The nutrients churn through the body, practically boiling out endless power.
"
Baldachin's Blessing	Elden Ring Wiki	Items	Consumables	"Favor bestowed by a deathbed companion. Protection of a hidden temple in the guise of a bedchamber.
Uses FP to temporarily boost poise.
The favor allows one to forget any aches and pains. In Death, there is only peace, for in Death, there can be no sensation.
"
Spark Aromatic	Elden Ring Wiki	Items	Consumables	"Art of the perfumers who fought In the Shattering.Craftable with a perfume bottle.
Uses FP to broadly scatter sparks in a wide arc straight ahead.
Though fire was prohibited to those who served the Erdtree, this rule was forgotten as the war drew ever on.
"
Poisonbloom	Elden Ring Wiki	Items	Materials	"Flower that grows in toxic terrain.Material used for crafting items.Poisonous, but may also provide the cure.
"
